Designator,Comment,Footprint
"C1,C2",1u,Capacitor_SMD:C_0603_1608Metric
C6,100n,Capacitor_SMD:C_0402_1005Metric
C7,10u,Capacitor_SMD:C_0603_1608Metric
"C8,C9",1u,Capacitor_SMD:C_0402_1005Metric
J1,I2C/PWR,Connector_Molex:Molex_PicoBlade_53048-0410_1x04_P1.25mm_Horizontal
"R3,R4",2k2,Resistor_SMD:R_0402_1005Metric
SW1,SW_SPDT,Button_Switch_THT:SW_XKB_DM1-16UP-1
TP1,SWCLK,TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm
TP2,SWDIO,TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm
TP3,M+,TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm
TP4,M-,TestPoint:TestPoint_THTPad_1.0x1.0mm_Drill0.5mm
U2,DRV2605LDGS,Package_SO:VSSOP-10_3x3mm_P0.5mm
U3,STM32G031G8Ux,Package_DFN_QFN:QFN-28_4x4mm_P0.5mm
U4,TPS7A20xxxDQN,Package_SON:Texas_X2SON-4_1x1mm_P0.65mm
