Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0603,2,1u,
C6,0402,1,100n,
C7,0603,1,10u,
"C8, C9",0402,2,1u,
J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,1,I2C/PWR,
"R3, R4",0402,2,2k2,
SW2,SW_Kailh_Choc_V1_1.00u,1,SW_SPST,
TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,SWCLK,
TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,1,SWDIO,
TP3,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,M+,
TP4,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,1,M-,
U2,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
U3,QFN-28_4x4mm_P0.5mm,1,STM32G031G8Ux,
U4,Texas_X2SON-4_1x1mm_P0.65mm,1,TPS7A20xxxDQN,
