Comment,Designator,Footprint,LCSC,Quantity
100n,C6,C_0402_1005Metric,C77020,1
10u,C7,C_0603_1608Metric,C19702,1
1u,"C1,C2",C_0603_1608Metric,C15849,2
1u,"C8,C9",C_0402_1005Metric,C29266,2
2k2,"R3,R4",R_0402_1005Metric,C325418,2
DRV2605LDGS,U2,VSSOP-10_3x3mm_P0.5mm,C527464,1
I2C/PWR,J1,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,C42422450,1
STM32G031G8Ux,U3,QFN-28_4x4mm_P0.5mm,C724053,1
TPS7A20xxxDQN,U4,Texas_X2SON-4_1x1mm_P0.65mm,C46459900,1
M-,TP4,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,,1
SWDIO,TP2,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
SWCLK,TP1,TestPoint_THTPad_D1.0mm_Drill0.5mm,,1
M+,TP3,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,,1
SW_SPST,SW2,SW_Kailh_Choc_V1_1.00u,,1
