Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,162.5,-71.28,90.0,top
C2,10u,C_0603_1608Metric,162.0,-66.925,90.0,top
C3,100n,C_0402_1005Metric,162.26,-69.44,-90.0,top
C4,100n,C_0402_1005Metric,166.77,-74.23,90.0,top
C5,1u,C_0402_1005Metric,167.72,-74.23,90.0,top
C6,1u,C_0402_1005Metric,165.4,-76.66,180.0,top
C7,100n,C_0402_1005Metric,165.4,-75.71,180.0,top
C8,1u,C_0603_1608Metric,159.725,-64.525,180.0,top
C9,1u,C_0603_1608Metric,168.445,-66.38,180.0,top
J1,I2C/PWR,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,173.1,-71.725,90.0,top
R1,330Ω,R_0402_1005Metric,175.54,-61.65,180.0,top
R2,10k,R_0402_1005Metric,169.9,-68.3,180.0,top
R3,2k2,R_0402_1005Metric,163.699,-66.250234,180.0,top
R4,2k2,R_0402_1005Metric,165.599,-66.250234,0.0,top
SW1,NRST,SW_TS-1088-AR02016,161.025,-75.2,0.0,top
SW2,BOOT0,SW_TS-1088-AR02016,173.475,-63.9,0.0,top
SW3,SW_SPST,SW_TS-1088-AR02016,159.4,-68.325,90.0,top
U1,TPS7A20xxxDQN,Texas_X2SON-4_1x1mm_P0.65mm,165.495,-74.23,90.0,top
U2,STM32G031G8Ux,QFN-28_4x4mm_P0.5mm,165.6,-69.95,0.0,top
U3,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,165.209,-64.025234,180.0,top
